concept	concept_question_answer	prediction_question_answer	limitation_question_answer	difficulty	q_id
Abstention_doctrine	C	C	C	hard	0
Constitutional_convention_(political_custom)	B	C	D	medium	1
Unaccompanied_minor	C	B	C	medium	2
Substantial_certainty_doctrine	B	A	D	easy	3
Learned_intermediary	B	B	C	easy	4
Doctrine_of_foreign_equivalents	B	C	A	medium	5
Prosecutorial_discretion	B	B	C	easy	6
Safe_harbor_(law)	B	B	D	medium	7
FTC_v._Dean_Foods_Co.	B	B	D	medium	8
Volenti_non_fit_injuria	B	A	C	easy	9
Plain_meaning_rule	B	B	C	easy	10
Purcell_principle	C	B	D	medium	11
Presumption_(Catholic_canon_law)	B	D	C	medium	12
Wrongdoing	C	B	D	medium	13
Remoteness_in_English_law	B	A	B	hard	14
Pacta_sunt_servanda	B	C	A	medium	15
Maxwellisation	B	B	C	easy	16
Brady_disclosure	B	B	D	medium	17
Undue_hardship	B	B	D	easy	18
Commanding_precedent	B	D	C	hard	19