	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	familiarity_story_setting	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
81	64d8e4e738368be56871e9f4	4	1.0	1.0	1.0	4.0	5.0	2.0	1.0	2.0	2.0	1.0	3.0	4.0	1	Learned_intermediary	1	1	2
82	651c96a60cb6fef420819ac0	4	0.0	1.0	1.0	4.0	5.0	3.0	1.0	1.0	2.0	1.0	3.0	3.0	1	Learned_intermediary	1	1	2
83	65612746d0cb24811468bab3	4	1.0	2.0	0.0	4.0	5.0	5.0	1.0	1.0	2.0	1.0	1.0	5.0	1	Learned_intermediary	1	1	2
84	6151fa2a75f20752350d8005	4	1.0	2.0	0.0	4.0	4.0	2.0	1.0	1.0	2.0	1.0	5.0	2.0	1	Learned_intermediary	1	1	2
85	653bb543ad732bd7544272be	4	1.0	3.0	0.0	4.0	5.0	3.0	1.0	1.0	2.0	1.0	3.0	3.0	1	Learned_intermediary	1	1	2
86	5f2cb797b8aecb1c7114e485	4	1.0	0.0	1.0	4.0	4.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	1	Learned_intermediary	1	1	2
87	650739048d93f13a5f6b200b	4	1.0	0.0	0.0	4.0	5.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1	Learned_intermediary	1	1	2
88	5ba855d47c0ebe0001272f70	4	0.0	1.0	0.0	4.0	5.0	3.0	1.0	1.0	2.0	1.0	4.0	4.0	1	Learned_intermediary	1	1	2
89	65381ee8f58cff48dc4b59d8	4	1.0	1.0	1.0	4.0	2.0	5.0	1.0	1.0	2.0	1.0	5.0	5.0	1	Learned_intermediary	1	1	2
90	56b3edf12bac74000d89e452	14	1.0	1.0	1.0	4.0	5.0	3.0	2.0	0.0	1.0	1.0	4.0	3.0	2	Remoteness_in_English_law	1	0	1
91	5ee890fabb763018d1ad774e	14	0.0	0.0	0.0	4.0	3.0	4.0	1.0	0.0	3.0	1.0	5.0	5.0	2	Remoteness_in_English_law	1	0	1
92	64f66c9ee363277ddc6f05e9	14	0.0	1.0	1.0	4.0	3.0	3.0	1.0	0.0	1.0	1.0	1.0	5.0	2	Remoteness_in_English_law	1	0	1
93	63304bb0700854da0ad87641	14	1.0	6.0	1.0	4.0	5.0	2.0	1.0	0.0	1.0	1.0	4.0	4.0	2	Remoteness_in_English_law	1	0	1
94	655f90b4d00ab411707b33a8	14	1.0	1.0	1.0	4.0	4.0	4.0	2.0	0.0	1.0	1.0	4.0	4.0	2	Remoteness_in_English_law	1	0	1
95	5fed6c9c0d786daf31f29f3d	14	0.0	2.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	2.0	4.0	2.0	2	Remoteness_in_English_law	1	0	1
96	6529ab7cce64633c2c5cc4a2	14	0.0	0.0	0.0	4.0	5.0	4.0	1.0	0.0	1.0	1.0	5.0	4.0	2	Remoteness_in_English_law	1	0	1
97	5e29fd5f2bec3b065e9a729e	14	0.0	3.0	1.0	4.0	4.0	5.0	2.0	0.0	1.0	1.0	2.0	5.0	2	Remoteness_in_English_law	1	0	1
98	5c81797a5bb27200013c7b1b	14	1.0	1.0	0.0	4.0	5.0	2.0	1.0	0.0	1.0	1.0	5.0	1.0	2	Remoteness_in_English_law	1	0	1
99	60c20992212adb0a37fb5259	14	1.0	1.0	0.0	4.0	3.0	3.0	1.0	0.0	1.0	3.0	3.0	3.0	2	Remoteness_in_English_law	1	0	1
100	65612746d0cb24811468bab3	14	1.0	2.0	0.0	4.0	5.0	3.0	1.0	0.0	1.0	1.0	4.0	3.0	2	Remoteness_in_English_law	1	0	1
101	610ae16b62f0011d7c897a4b	14	1.0	2.0	1.0	4.0	2.0	3.0	0.0	3.0	0.0	3.0	4.0	2.0	2	Remoteness_in_English_law	1	0	1
102	650c40d475f6580650cd7938	14	1.0	0.0	1.0	4.0	4.0	3.0	1.0	0.0	1.0	1.0	3.0	4.0	2	Remoteness_in_English_law	1	0	1
103	655424abfafb67fe33ca8476	14	0.0	0.0	0.0	4.0	4.0	4.0	1.0	0.0	1.0	1.0	4.0	4.0	2	Remoteness_in_English_law	1	0	1
104	653bb543ad732bd7544272be	14	1.0	3.0	0.0	4.0	5.0	4.0	1.0	0.0	1.0	1.0	4.0	4.0	2	Remoteness_in_English_law	1	0	1
105	6537e43c008bb605430a302f	14	1.0	1.0	1.0	4.0	4.0	4.0	2.0	2.0	1.0	3.0	3.0	4.0	2	Remoteness_in_English_law	1	0	1
106	56b3edf12bac74000d89e452	15	1.0	1.0	1.0	4.0	5.0	5.0	1.0	1.0	0.0	1.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
107	5ee890fabb763018d1ad774e	15	0.0	0.0	0.0	4.0	3.0	3.0	1.0	2.0	0.0	1.0	5.0	3.0	2	Pacta_sunt_servanda	1	2	0
108	64f66c9ee363277ddc6f05e9	15	0.0	1.0	1.0	4.0	3.0	5.0	1.0	2.0	0.0	1.0	2.0	5.0	2	Pacta_sunt_servanda	1	2	0
109	63304bb0700854da0ad87641	15	1.0	6.0	1.0	4.0	5.0	2.0	1.0	1.0	0.0	1.0	5.0	3.0	2	Pacta_sunt_servanda	1	2	0
110	655f90b4d00ab411707b33a8	15	1.0	1.0	1.0	4.0	4.0	4.0	1.0	1.0	0.0	1.0	3.0	4.0	2	Pacta_sunt_servanda	1	2	0
111	5fed6c9c0d786daf31f29f3d	15	0.0	2.0	1.0	4.0	1.0	3.0	1.0	2.0	0.0	1.0	5.0	3.0	2	Pacta_sunt_servanda	1	2	0
112	6529ab7cce64633c2c5cc4a2	15	0.0	0.0	0.0	4.0	5.0	5.0	1.0	1.0	3.0	1.0	3.0	5.0	2	Pacta_sunt_servanda	1	2	0
113	5e29fd5f2bec3b065e9a729e	15	0.0	3.0	1.0	4.0	4.0	5.0	1.0	2.0	0.0	1.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
114	5c81797a5bb27200013c7b1b	15	1.0	1.0	0.0	4.0	5.0	4.0	1.0	2.0	0.0	2.0	2.0	4.0	2	Pacta_sunt_servanda	1	2	0
115	60c20992212adb0a37fb5259	15	1.0	1.0	0.0	4.0	3.0	4.0	1.0	2.0	0.0	1.0	2.0	4.0	2	Pacta_sunt_servanda	1	2	0
116	65612746d0cb24811468bab3	15	1.0	2.0	0.0	4.0	5.0	5.0	1.0	2.0	0.0	5.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
117	610ae16b62f0011d7c897a4b	15	1.0	2.0	1.0	4.0	2.0	4.0	1.0	1.0	0.0	3.0	2.0	3.0	2	Pacta_sunt_servanda	1	2	0
118	650c40d475f6580650cd7938	15	1.0	0.0	1.0	4.0	4.0	3.0	1.0	2.0	0.0	1.0	2.0	4.0	2	Pacta_sunt_servanda	1	2	0
119	655424abfafb67fe33ca8476	15	0.0	0.0	0.0	4.0	4.0	4.0	1.0	2.0	3.0	1.0	3.0	4.0	2	Pacta_sunt_servanda	1	2	0
120	653bb543ad732bd7544272be	15	1.0	3.0	0.0	4.0	5.0	5.0	1.0	2.0	3.0	1.0	3.0	5.0	2	Pacta_sunt_servanda	1	2	0
121	6537e43c008bb605430a302f	15	1.0	1.0	1.0	4.0	4.0	5.0	1.0	2.0	3.0	2.0	2.0	4.0	2	Pacta_sunt_servanda	1	2	0
122	56b3edf12bac74000d89e452	17	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	3.0	1.0	2.0	5.0	2	Brady_disclosure	1	1	3
123	5ee890fabb763018d1ad774e	17	0.0	0.0	0.0	4.0	3.0	3.0	1.0	1.0	2.0	1.0	5.0	4.0	2	Brady_disclosure	1	1	3
124	64f66c9ee363277ddc6f05e9	17	0.0	1.0	1.0	4.0	3.0	2.0	1.0	3.0	3.0	1.0	2.0	4.0	2	Brady_disclosure	1	1	3
125	63304bb0700854da0ad87641	17	1.0	6.0	1.0	4.0	5.0	3.0	1.0	3.0	3.0	1.0	5.0	3.0	2	Brady_disclosure	1	1	3
126	655f90b4d00ab411707b33a8	17	1.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	1.0	4.0	3.0	2	Brady_disclosure	1	1	3
127	5fed6c9c0d786daf31f29f3d	17	0.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	5.0	1.0	2	Brady_disclosure	1	1	3
128	6529ab7cce64633c2c5cc4a2	17	0.0	0.0	0.0	4.0	5.0	3.0	1.0	1.0	3.0	1.0	5.0	3.0	2	Brady_disclosure	1	1	3
129	5e29fd5f2bec3b065e9a729e	17	0.0	3.0	1.0	4.0	4.0	5.0	1.0	1.0	3.0	1.0	1.0	5.0	2	Brady_disclosure	1	1	3
130	5c81797a5bb27200013c7b1b	17	1.0	1.0	0.0	4.0	5.0	1.0	1.0	1.0	3.0	1.0	3.0	2.0	2	Brady_disclosure	1	1	3
131	60c20992212adb0a37fb5259	17	1.0	1.0	0.0	4.0	3.0	3.0	3.0	0.0	2.0	2.0	3.0	4.0	2	Brady_disclosure	1	1	3
132	65612746d0cb24811468bab3	17	1.0	2.0	0.0	4.0	5.0	3.0	1.0	1.0	0.0	1.0	2.0	3.0	2	Brady_disclosure	1	1	3
133	610ae16b62f0011d7c897a4b	17	1.0	2.0	1.0	4.0	2.0	3.0	1.0	1.0	3.0	1.0	5.0	3.0	2	Brady_disclosure	1	1	3
134	650c40d475f6580650cd7938	17	1.0	0.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	1.0	4.0	2.0	2	Brady_disclosure	1	1	3
135	655424abfafb67fe33ca8476	17	0.0	0.0	0.0	4.0	4.0	3.0	1.0	0.0	3.0	1.0	3.0	3.0	2	Brady_disclosure	1	1	3
136	653bb543ad732bd7544272be	17	1.0	3.0	0.0	4.0	5.0	4.0	1.0	1.0	3.0	1.0	3.0	4.0	2	Brady_disclosure	1	1	3
137	6537e43c008bb605430a302f	17	1.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	2.0	4.0	2.0	2	Brady_disclosure	1	1	3
138	56b3edf12bac74000d89e452	18	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	3.0	5.0	1.0	4.0	2	Undue_hardship	1	1	3
139	5ee890fabb763018d1ad774e	18	0.0	0.0	0.0	4.0	3.0	4.0	1.0	1.0	3.0	1.0	4.0	4.0	2	Undue_hardship	1	1	3
140	64f66c9ee363277ddc6f05e9	18	0.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	3.0	1.0	2.0	5.0	2	Undue_hardship	1	1	3
141	63304bb0700854da0ad87641	18	1.0	6.0	1.0	4.0	5.0	4.0	1.0	1.0	3.0	2.0	3.0	4.0	2	Undue_hardship	1	1	3
142	655f90b4d00ab411707b33a8	18	1.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	2.0	3.0	2.0	2	Undue_hardship	1	1	3
143	5fed6c9c0d786daf31f29f3d	18	0.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	2.0	2	Undue_hardship	1	1	3
144	6529ab7cce64633c2c5cc4a2	18	0.0	0.0	0.0	4.0	5.0	5.0	1.0	1.0	2.0	3.0	2.0	5.0	2	Undue_hardship	1	1	3
145	5e29fd5f2bec3b065e9a729e	18	0.0	3.0	1.0	4.0	4.0	5.0	1.0	1.0	3.0	1.0	3.0	5.0	2	Undue_hardship	1	1	3
146	5c81797a5bb27200013c7b1b	18	1.0	1.0	0.0	4.0	5.0	4.0	1.0	1.0	3.0	1.0	2.0	3.0	2	Undue_hardship	1	1	3
147	60c20992212adb0a37fb5259	18	1.0	1.0	0.0	4.0	3.0	3.0	1.0	1.0	3.0	3.0	2.0	4.0	2	Undue_hardship	1	1	3
148	65612746d0cb24811468bab3	18	1.0	2.0	0.0	4.0	5.0	3.0	1.0	1.0	3.0	2.0	2.0	2.0	2	Undue_hardship	1	1	3
149	610ae16b62f0011d7c897a4b	18	1.0	2.0	1.0	4.0	2.0	2.0	1.0	0.0	0.0	1.0	4.0	3.0	2	Undue_hardship	1	1	3
150	650c40d475f6580650cd7938	18	1.0	0.0	1.0	4.0	4.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	2	Undue_hardship	1	1	3
151	655424abfafb67fe33ca8476	18	0.0	0.0	0.0	4.0	4.0	3.0	1.0	1.0	3.0	2.0	3.0	3.0	2	Undue_hardship	1	1	3
152	653bb543ad732bd7544272be	18	1.0	3.0	0.0	4.0	5.0	4.0	1.0	1.0	3.0	2.0	2.0	3.0	2	Undue_hardship	1	1	3
153	6537e43c008bb605430a302f	18	1.0	1.0	1.0	4.0	4.0	3.0	1.0	1.0	3.0	2.0	2.0	4.0	2	Undue_hardship	1	1	3
154	56b3edf12bac74000d89e452	19	1.0	1.0	1.0	4.0	5.0	4.0	1.0	3.0	3.0	1.0	4.0	4.0	2	Commanding_precedent	1	3	2
155	5ee890fabb763018d1ad774e	19	0.0	0.0	0.0	4.0	3.0	3.0	1.0	3.0	2.0	1.0	4.0	3.0	2	Commanding_precedent	1	3	2
156	64f66c9ee363277ddc6f05e9	19	0.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	3.0	1.0	4.0	4.0	2	Commanding_precedent	1	3	2
157	63304bb0700854da0ad87641	19	1.0	6.0	1.0	4.0	5.0	3.0	1.0	3.0	2.0	1.0	4.0	3.0	2	Commanding_precedent	1	3	2
158	655f90b4d00ab411707b33a8	19	1.0	1.0	1.0	4.0	4.0	3.0	1.0	3.0	1.0	3.0	3.0	3.0	2	Commanding_precedent	1	3	2
159	5fed6c9c0d786daf31f29f3d	19	0.0	2.0	1.0	4.0	1.0	3.0	1.0	3.0	2.0	1.0	5.0	2.0	2	Commanding_precedent	1	3	2
160	6529ab7cce64633c2c5cc4a2	19	0.0	0.0	0.0	4.0	5.0	3.0	0.0	3.0	2.0	1.0	4.0	3.0	2	Commanding_precedent	1	3	2
161	5e29fd5f2bec3b065e9a729e	19	0.0	3.0	1.0	4.0	4.0	4.0	1.0	3.0	2.0	1.0	4.0	4.0	2	Commanding_precedent	1	3	2
162	5c81797a5bb27200013c7b1b	19	1.0	1.0	0.0	4.0	5.0	2.0	1.0	0.0	1.0	1.0	4.0	2.0	2	Commanding_precedent	1	3	2
163	60c20992212adb0a37fb5259	19	1.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	1.0	3.0	5.0	2.0	2	Commanding_precedent	1	3	2
164	65612746d0cb24811468bab3	19	1.0	2.0	0.0	4.0	5.0	3.0	1.0	3.0	1.0	2.0	3.0	3.0	2	Commanding_precedent	1	3	2
165	610ae16b62f0011d7c897a4b	19	1.0	2.0	1.0	4.0	2.0	2.0	0.0	3.0	0.0	1.0	4.0	2.0	2	Commanding_precedent	1	3	2
166	650c40d475f6580650cd7938	19	1.0	0.0	1.0	4.0	4.0	1.0	1.0	3.0	2.0	1.0	5.0	1.0	2	Commanding_precedent	1	3	2
167	655424abfafb67fe33ca8476	19	0.0	0.0	0.0	4.0	4.0	4.0	1.0	1.0	2.0	2.0	3.0	4.0	2	Commanding_precedent	1	3	2
168	653bb543ad732bd7544272be	19	1.0	3.0	0.0	4.0	5.0	3.0	1.0	3.0	2.0	1.0	3.0	3.0	2	Commanding_precedent	1	3	2
169	6537e43c008bb605430a302f	19	1.0	1.0	1.0	4.0	4.0	2.0	1.0	3.0	1.0	2.0	4.0	2.0	2	Commanding_precedent	1	3	2
